"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Checkout-step two: 取消结账，返回商品主页","结账总览页面，取消结账返回商品主页","0","0","1","0","0"
"","Products: 主页链接跳转","标题链接跳转详情","0","0","6","0","0"
"","Cart: 移除购物车中的商品","移除购物车中的商品","0","0","6","0","0"
"","Products: 主页链接跳转","图片链接跳转详情","0","0","6","0","0"
"","Products Detail: 商品详情页返回主页","详情页：点击返回主页","0","0","6","0","0"
"","Products Detail: 商品详情页加入或者移除购物车","详情页：加入购物车","0","0","6","0","0"
"","Login","visual_user用户登录","0","0","1","0","0"
"","Checkout-complete: 返回主页","结账完毕页面，点击返回主页","0","0","1","0","0"
"","Checkout-step one: 填写结账信息","测试填写结账信息缺失，能否进入结账下一步","4","0","1","0","0"
"","Checkout-complete: 结账完毕","结账完毕页面，显示感谢购物文本","0","0","1","0","0"
"","Checkout-step one: 结账信息填写完毕，进入Checkout-step two","结账填写信息结束，进入结账总览页面","1","0","1","0","0"
"","Checkout-step two: 检查加购商品总价的正确性","测试结账总览页面商品总价是否为加购商品之和","0","0","4","0","0"
"","Products: 主页排序","按姓名ZA排序","0","0","1","0","0"
"","Products: 主页排序","按价格升序排序","0","0","1","0","0"
"","Products: 加入或者移除购物车","主页：移除购物车","0","0","1","0","0"
"","Products Detail: 商品详情页加入或者移除购物车","详情页：移除购物车","0","0","6","0","0"
"","Checkout-step two: 检查商品条目正确性","测试结账总览页面条目是否与加购的商品相符","0","0","4","0","0"
"","Products: 主页排序","按姓名AZ排序","0","0","1","0","0"
"","Cart: 跳转到购物车中的商品详情页","从购物车跳转到商品的详情页","0","0","6","0","0"
"","Login","standard_user用户登录","0","0","1","0","0"
"","Login","problem_user用户登录","0","0","1","0","0"
"","Products: 主页跳转到购物车","跳转到购物车","0","0","1","0","0"
"","Checkout-complete: 购物车重置","结账完毕，测试购物车是否重置","0","0","1","0","0"
"","Products: 加入或者移除购物车","主页：加入购物车","0","0","1","0","0"
"","Login","locked_out_user用户登录","1","0","0","0","0"
"","Login","error_user用户登录","0","0","1","0","0"
"","Checkout-step two: 结账总览完成，点击结束","结账总览页面确认","0","0","1","0","0"
"","Cart: 购物车跳转到checkout","购物车详情页跳转到checkout","0","0","1","0","0"
"","Checkout-step one: 取消结账，返回购物车页面","结账填写信息页面，返回购物车","0","0","1","0","0"
"","Products: 主页排序","按价格降序排序","0","0","1","0","0"
"","Login","performance_glitch_user用户登录","0","0","1","0","0"
"","Cart: 购物车返回主页","购物车详情页返回主页，继续购物","0","0","1","0","0"
